,Nr,xNi,T,t,Ms,cfrac,mipd
189,846.0,0.5156282773148269,669.539460837841,-3427.349588647485,316.9797962270489,0.1804978076274845,5.431537962790775e-09
190,857.0,0.5182487422553823,744.9886309355497,-3164.5782116800547,298.4160007866586,0.1934508448196387,3.1186376657042894e-08
191,870.0,0.5170166570134461,674.9059981480241,-2332.952805608511,277.9302373010362,0.1460259299247081,5.920170406147065e-09
192,878.0,0.5144562782905996,695.5462812632322,-1002.6267617940904,190.3361293845465,0.0257445578096498,1.0733926818553134e-08
193,750.0,0.5142266918020323,693.1131048500538,-2674.491622298956,318.40726889853715,0.1619865321722441,8.092301256927672e-09
194,809.0,0.5205100767174736,718.3095306903124,-3435.708589106798,334.2877132683052,0.2740992604203817,1.3474769295741132e-08
195,814.0,0.5152977436687798,664.779816120863,-2232.5878735631704,243.36378504436183,0.0772414000690178,5.723828073506781e-09
196,817.0,0.5159612430958077,728.9976133778691,-1558.7829921394589,242.97353742072383,0.0877716128175853,1.9047309464891146e-08
197,828.0,0.5275603136140854,679.5972788333893,-2556.945874169469,195.1709420588921,0.2517462392385096,7.0348676757430235e-09
198,798.0,0.5114698280673474,677.2831589728594,-1154.2258959263563,239.86983217505232,0.0107379409013484,9.090847265731553e-09
199,802.0,0.5070207324717194,674.0984687209129,-2945.464771986008,295.29139513627075,0.0179031646724576,8.796502598113085e-09
200,818.0,0.5104392862319946,694.2354568839073,-2381.3549537211657,299.08382008172,0.0760732825967797,9.358688784603298e-09
201,841.0,0.5216673322254792,728.5503732413054,-2153.914649784565,277.25115455184005,0.218174342388488,1.7956011668751523e-08
202,918.0,0.5197415416920558,679.1024826839566,-3360.795698314905,325.84365211720086,0.2524276938156643,6.134029866655694e-09
203,812.0,0.522562064640224,688.4713780879974,-2896.0213601589203,319.6377716443235,0.2856221466583289,7.175514944546566e-09
204,844.0,0.5252608386427164,696.9819320738316,-2257.6660953462124,276.3118407592233,0.2735578800811156,8.52401037200151e-09
205,865.0,0.5118469081399962,737.7077655121684,-2917.320523783565,286.0756785389744,0.077221119244925,2.9068359347617856e-08
206,877.0,0.5090658384328708,721.2263702973723,-1810.751648247242,273.21087544611083,0.0139915544784392,2.31100989827301e-08
